WordNo,Word,Definition,Type,Records,MoreDef,Samples,Synonyms,Antonyms,Reviewed_Times
2216,expunge,"to strike or blot out, erase",,1,,,,,0
2217,expurgate,"to edit out incorrect, or otherwise undesirable information",verb,1,Edit by omitting or modifying parts considered indelicate,Bowdlerize a novel,Bowdlerize. bowdlerise. expurgate. castrate. shorten,,0
2218,extant,"in existence, still existing, not destroyed or lost",adjective,1,Still in existence; not extinct or destroyed or lost; ; - Edward Clodd,Extant manuscripts. Specimens of graphic art found among extant barbaric folk,Extant,Extinct,0
2219,extemporaneous,"without preparation or advanced thought, offhand",adjective,1,With little or no preparation or forethought,His ad-lib comments showed poor judgment. An extemporaneous piano recital. An extemporary lecture. An extempore skit. An impromptu speech. Offhand excuses. Trying to sound offhanded and reassuring. An off-the-cuff toast. A few unrehearsed comments,Ad-lib. extemporaneous. extemporary. extempore. impromptu. offhand. offhanded. off-the-cuff. unrehearsed,,0
2220,extempore,"carried out with no preparation, impromptu",adjective,1,With little or no preparation or forethought,His ad-lib comments showed poor judgment. An extemporaneous piano recital. An extemporary lecture. An extempore skit. An impromptu speech. Offhand excuses. Trying to sound offhanded and reassuring. An off-the-cuff toast. A few unrehearsed comments,Ad-lib. extemporaneous. extemporary. extempore. impromptu. offhand. offhanded. off-the-cuff. unrehearsed,,0
2221,extensible,capable of being extended,adjective,1,Capable of being protruded or stretched or opened out,An extensile tongue. An extensible measuring rule,Extensile. extensible,Nonextensile,0
2222,extensive,"in the nature of an extent, wide, widespread",adjective,3,Broad in scope or content; ; ; ; ; - T.G.Winner. Large in spatial extent or range or scope or quantity. Of agriculture; increasing productivity by using large areas with minimal outlay and labor,Producing wheat under extensive conditions. Agriculture of the extensive type. An extensive Roman settlement in northwest England. Extended farm lands. Surgeons with extended experience. They suffered extensive damage. Across-the-board pay increases. An all-embracing definition. Blanket sanctions against human-rights violators. An invention with broad applications. A panoptic study of Soviet nationality. Granted him wide powers,Extensive. extended. Across-the-board. all-embracing. all-encompassing. all-inclusive. blanket. broad. encompassing. extensive. panoptic. wide. Extensive,Intensive,0
2223,extensor,a muscle whose contraction extends or straightens a limb,noun,1,A skeletal muscle whose contraction extends or stretches a body part,,Extensor_muscle. extensor,Flexor,0
2224,extenuate,"to represent (a fault, offense, etc ) as less serious",verb,1,Lessen or to try to lessen the seriousness or extent of,The circumstances extenuate the crime,Extenuate. palliate. mitigate,,0
2225,external,outside of something,adjective,4,"Happening or arising or located outside or beyond some limits or especially surface. Purely outward or superficial; ; - A.R.Gurney,Jr.. From or between other countries. Coming from the outside",External composure. An external concern for reputation. External commerce. International trade. Developing nations need outside help. Extraneous light in the camera spoiled the photograph. Relying upon an extraneous income. Disdaining outside pressure groups. The external auditory canal. External pressures,External. External. extraneous. outside. External. international. outside,Internal,0
2226,extinct,"no longer in existence, that has ended or died out",adjective,3,(of e.g. volcanos) permanently inactive. Being out or having grown cold. No longer in existence; lost or especially having died out leaving no living representatives,An extinct volcano. Threw his extinct cigarette into the stream. The fire is out. An extinct species of fish. An extinct royal family. Extinct laws and customs,Extinct. out. Extinct. Extinct. nonextant,Extant. Active,0
2227,extinguish,"to put out, as in fire, to end burning, to quench",verb,5,"Put an end to; kill. Kill in large numbers. Extinguish by crushing. Terminate, end, or take out. Put out, as of fires, flames, or lights","The Nazis snuffed out the life of many Jewish children. Let's eliminate the course on Akkadian hieroglyphics. Socialism extinguished these archaic customs. Eliminate my debts. Too big to be extinguished at once, the forest fires at best could be contained. Quench the flames. Snuff out the candles. The plague wiped out an entire population. Stub out your cigar",Snuff_out. extinguish. Snuff_out. blow_out. extinguish. quench. Eliminate. annihilate. extinguish. eradicate. wipe_out. decimate. carry_off. Extinguish. eliminate. get_rid_of. do_away_with. Stub_out. crush_out. extinguish. press_out,Ignite,0
2228,extirpate,"to remove or destroy totally, do away with, exterminate",verb,3,"Pull up by or as if by the roots. Destroy completely, as if down to the roots. Surgically remove (an organ)",The vestiges of political democracy were soon uprooted. Root out corruption. Uproot the vine that has spread all over the garden,Extirpate. Uproot. extirpate. deracinate. root_out. Uproot. eradicate. extirpate. root_out. exterminate,,0
2229,extol,"to praise highly, laud, eulogize",verb,1,"Praise, glorify, or honor",Extol the virtues of one's children. Glorify one's spouse's cooking,Laud. extol. exalt. glorify. proclaim,,0
2230,extort,to take by illegal exercise of power or ingenuity,verb,3,Obtain through intimidation. Get or cause to become in a difficult or laborious manner. Obtain by coercion or intimidation,They extorted money from the executive by threatening to reveal his past to the company boss. They squeezed money from the owner of the business by threatening him,Extort. squeeze. rack. gouge. wring. Extort. Extort. wring_from,,0
2231,extortion,obtaining something  by the abuse of office or authority,noun,3,The felonious act of extorting money (as by threats of violence). Unjust exaction (as by the misuse of authority). An exorbitant charge,The extortion by dishonest officials of fees for performing their sworn duty,Extortion,,0
2232,extradite,to move a person from one state to another by legal process,verb,1,Hand over to the authorities of another country,They extradited the fugitive to his native country so he could be tried there,Extradite. deliver. deport,,0
2233,extradition,surrender of an alleged fugitive by one authority to another,noun,1,The surrender of an accused or convicted person by one state or country to another (usually under the provisions of a statute or treaty),,Extradition,,0
2234,extrajudicial,carried out without legal authority,adjective,1,Beyond the usual course of legal proceedings; legally unwarranted,An extrajudicial penalty,Extrajudicial,,0
2235,extraneous,"not belonging to, or dependent upon, a thing",adjective,4,Not essential. Coming from the outside. Not belonging to that in which it is contained; introduced from an outside source. Not pertinent to the matter under consideration,An issue extraneous to the debate. The price was immaterial. Mentioned several impertinent facts before finally coming to the point. Water free of extraneous matter. Foreign particles in milk. Extraneous light in the camera spoiled the photograph. Relying upon an extraneous income. Disdaining outside pressure groups. The ballet struck me as extraneous and somewhat out of keeping with the rest of the play,External. extraneous. outside. Extraneous. Extraneous. immaterial. impertinent. orthogonal. Extraneous. foreign,,0
2236,extraordinary,"not ordinary, exceptional, unusual",adjective,3,Beyond what is ordinary or usual; highly unusual or exceptional or remarkable. (of an official) serving an unusual or special function in addition to those of the regular officials. Far more than usual or expected,An ambassador extraordinary. Extraordinary authority. An extraordinary achievement. Her extraordinary beauty. Enjoyed extraordinary popularity. An extraordinary capacity for work. An extraordinary session of the legislature. An extraordinary desire for approval. It was an over-the-top experience,Extraordinary. over-the-top. sinful. Extraordinary,Ordinary,0
2237,extrapolate,to infer (an unknown) from something that is known,verb,3,Estimate the value of. Draw from specific cases for more general cases. Gain knowledge of (an area not known or experienced) by extrapolating,,Interpolate. extrapolate. Extrapolate. Generalize. generalise. extrapolate. infer,,0
2238,extravagance,excessive or superfluous expenditure of money,noun,3,The trait of spending extravagantly. Excessive spending. The quality of exceeding the appropriate limits of decorum or probability or truth,We were surprised by the extravagance of his description,Extravagance. extravagancy. Extravagance. prodigality. lavishness. highlife. high_life. Extravagance. prodigality. profligacy,,0
2239,extravagant,"spending much more than is necessary or wise, wasteful",adjective,2,"Unrestrained, especially with regard to feelings. Recklessly wasteful",Extravagant praise. Exuberant compliments. Overweening ambition. Overweening greed. Prodigal in their expenditures,Extravagant. prodigal. profligate. spendthrift. Excessive. extravagant. exuberant. overweening,,0
2240,extremist,"holding extreme views, especially on a political subject",adjective,1,(used of opinions and actions) far beyond the norm,Extremist political views. Radical opinions on education. An ultra conservative,Extremist. radical. ultra,,0
2241,extremity,the most extreme or furthest point of something,noun,5,An extreme condition or state (especially of adversity or disease). The outermost or farthest region or point. That part of a limb that is farthest from the torso. The greatest or utmost degree. An external body part that projects from the body,It is important to keep the extremities warm. The extremity of despair,Extremity. appendage. member. Extremity,,0
2242,extricate,"to free, disengage, loosen, or untangle",verb,1,Release from entanglement of difficulty,I cannot extricate myself from this task,Extricate. untangle. disentangle. disencumber,,0
2243,extrinsic,"external, separable from the thing itself, inessential",adjective,1,Not forming an essential part of a thing or arising or originating from the outside,Extrinsic evidence. An extrinsic feature of the new building. That style is something extrinsic to the subject. Looking for extrinsic aid,Extrinsic,Intrinsic,0
2244,extrovert,"an outgoing, gregarious person",noun,1,(psychology) a person concerned more with practical realities than with inner thoughts and feelings,,Extrovert. extravert,Introvert,0
2245,extrude,to push or thrust out,verb,1,Form or shape by forcing through an opening,Extrude steel,Extrude. squeeze_out,,0
2246,exuberance,effusively and almost uninhibitedly enthusiastic,adjective,1,,,,,0
2247,exuberant,"very high-spirited, extremely energetic or enthusiastic",adjective,3,"Unrestrained, especially with regard to feelings. Joyously unrestrained. Produced or growing in extreme abundance",Their riotous blooming. Extravagant praise. Exuberant compliments. Overweening ambition. Overweening greed,Ebullient. exuberant. high-spirited. Exuberant. lush. luxuriant. profuse. riotous. Excessive. extravagant. exuberant. overweening,,0
2248,exude,"to discharge through pores, to emit, to give out",verb,2,Release (a liquid) in drops or small quantities. Make apparent by one's mood or behavior,Exude sweat through the pores. She exudes great confidence,Exude. exudate. transude. ooze_out. ooze. Exude,,0
2249,exult,"to rejoice, be very happy",verb,2,To express great joy. Feel extreme happiness or elation,Who cannot exult in Spring?,Exuberate. exult. rejoice. triumph. jubilate. Exult. walk_on_air. be_on_cloud_nine. jump_for_joy,,0
2250,fabricate,"to form into a whole by uniting its parts, to construct",verb,2,"Put together out of artificial or natural components or parts; ; ; He manufactured a popular cereal"". Make up something artificial or untrue",The company fabricates plastic chairs. They manufacture small toys,Fabricate. manufacture. cook_up. make_up. invent. Manufacture. fabricate. construct,,0
2251,fabrication,"the act of framing, construction, manufacture",noun,5,A deliberately false or improbable account. The act of making something (a product) from raw materials. The act of constructing something (as a piece of machinery). The deliberate act of deviating from the truth. Writing in a fictional form,The synthesis and fabrication of single crystals. An improvement in the manufacture of explosives. Manufacturing is vital to Great Britain,Fabrication. fiction. fable. Fabrication. assembly. Fabrication. manufacture. manufacturing. Fabrication. fictionalization. fictionalisation. Lying. prevarication. fabrication,Disassembly,0
2252,fabulous,"extraordinary, especially in being very large",adjective,3,Based on or told of in traditional stories; lacking factual basis or historical validity. Extremely pleasing. Barely credible,Mythical centaurs. The fabulous unicorn. The fabulous endurance of a marathon runner. A fabulous vacation,Fabulous. fab. Fabulous. Fabulous. mythic. mythical. mythologic. mythological,,0
2253,facade,"the face of a building, especially the front",noun,2,A showy misrepresentation intended to conceal something unpleasant. The face or front of a building,,Facade. window_dressing. Facade. frontage. frontal,,0
2254,facet,"one of the small, polished plane surfaces of a cut gem",verb,1,,,,,1
2255,facetious,not meant to be taken seriously or literally,adjective,1,Cleverly amusing in tone,A bantering tone. Facetious remarks. Tongue-in-cheek advice,Bantering. facetious. tongue-in-cheek,,0
2256,facile,easily accomplished or attained,,1,,,,,0
2257,facile,"moving, acting, working, proceeding, etc , with ease",adjective,3,"Performing adroitly and without effort. Expressing yourself readily, clearly, effectively. Arrived at without due care or effort; lacking depth",Too facile a solution for so complex a problem. Able to dazzle with his facile tongue. Silver speech. A facile hand,Facile. Eloquent. facile. fluent. silver. silver-tongued. smooth-spoken,,0
2258,facilitate,to make easy or easier,verb,3,Be of use. Increase the likelihood of (a response). Make easier,This will help to prevent accidents. You could facilitate the process by sharing your knowledge. The stimulus facilitates a delayed impulse,Facilitate. Facilitate. ease. alleviate. Help. facilitate,,0
2259,facility,"ease in learning or in doing something, proficiency",noun,5,A service that an organization or a piece of equipment offers you. Skillful performance or ability without difficulty. A building or place that provides a particular service or is used for a particular industry. A natural effortlessness; ; --Jane Austen. Something designed and created to serve a particular function and to afford a particular convenience or service,The assembly plant is an enormous facility. Catering facilities. Toilet facilities. Educational facilities. A cell phone with internet facility. They conversed with great facility. A happy readiness of conversation. His quick adeptness was a product of good design. He was famous for his facility as an archer,Facility. installation. Adeptness. adroitness. deftness. facility. quickness. Facility. Facility. readiness,,0
2260,facsimile,"to send via a facsimile machine, normally spoken as fax",verb,1,Send something via a facsimile machine,Can you fax me the report right away?,Fax. telefax. facsimile,,0
2261,faction,a group or clique within a larger group,noun,2,A dissenting clique. A clique (often secret) that seeks power usually through intrigue,,Cabal. faction. junto. camarilla. Faction. sect,,0
2262,factionalism,the splitting of a group into factions,noun,1,,,,,0
2263,factious,"of, pertaining to, or caused by factions",adjective,1,Dissenting (especially dissenting with the majority opinion),,Dissentious. divisive. factious,,0
2264,fad,"a temporary fashion, notion, manner of conduct, etc",noun,1,An interest followed with exaggerated zeal,He always follows the latest fads. It was all the rage that season,Fad. craze. furor. furore. cult. rage,,0
2265,falderol,nonsense or foolishness,noun,1,Ornamental objects of no great value,,Folderal. falderol. frill. gimcrackery. gimcrack. nonsense. trumpery,,0
2266,fallacious,"containing a fallacy,  logically unsound",adjective,3,Containing or based on a fallacy. Intended to deceive; ; ;  - S.T.Coleridge. Based on an incorrect or misleading notion or information,"Fallacious hope. Fallacious reasoning. An unsound argument. Deceitful advertising. Fallacious testimony. Smooth, shining, and deceitful as thin ice. A fraudulent scheme to escape paying taxes",Fallacious. Deceitful. fallacious. fraudulent. Fallacious. unsound,,0
2267,fallacy,"deceptive or false appearance, deceitfulness, deception",noun,1,A misconception resulting from incorrect reasoning,,Fallacy. false_belief,,0
2268,fallible,capable of making mistakes or being wrong,adjective,2,"Likely to fail or make errors. Wanting in moral strength, courage, or will; having the attributes of man as opposed to e.g. divine beings",Everyone is fallible to some degree. I'm only a fallible human. Frail humanity,Fallible. frail. imperfect. weak. Fallible,Infallible,0
2269,fallow,to make land fallow for agricultural purposes,verb,1,,,,,0
2270,falter,to waver or be unsteady,verb,4,"Speak haltingly. Walk unsteadily. Move hesitatingly, as if about to give way. Be unsure or weak",Their enthusiasm is faltering. The speaker faltered when he saw his opponent enter the room. The drunk man stumbled about,Stumble. falter. bumble. Falter. waver. Bumble. stutter. stammer. falter,,0
2271,famine,"extreme and general scarcity of food, as in a country",noun,2,A severe shortage of food (as through crop failure) resulting in violent hunger and starvation and death. An acute insufficiency,,Dearth. famine. shortage. Famine,,0
2272,famish,"to suffer or cause to suffer extreme hunger, starve",verb,3,Deprive of food. Die of food deprivation. Be hungry; go without food,Let's eat--I'm starving!. They starved the prisoners. The political prisoners starved to death. Many famished in the countryside during the drought,Starve. famish. Starve. hunger. famish,Feed. Be_full,0
2273,fanatic,"a person with an extreme enthusiasm or zeal, as in religion",noun,1,A person motivated by irrational enthusiasm (as for a cause); --Winston Churchill,A fanatic is one who can't change his mind and won't change the subject,Fanatic. fiend,,0
2274,fanatical,having an extreme zeal or enthusiasm for something,adjective,1,Marked by excessive enthusiasm for and intense devotion to a cause or idea,Rabid isolationist,Fanatic. fanatical. overzealous. rabid,,0
2275,fanaticism,the characteristic or practice of being a fanatic,noun,1,Excessive intolerance of opposing views,,Fanaticism. fanatism. zealotry,,0
2276,fanciless,"having no fancy, without ideas or imagination",adjective,1,,,,,0
2277,farcical,"resembling a farce, ludicrous, absurd",adjective,1,Broadly or extravagantly humorous; resembling farce,The wild farcical exuberance of a clown. Ludicrous green hair,Farcical. ludicrous. ridiculous,,0
2278,fastidious,"excessively particular, demanding, or fussy about details",adjective,2,Giving careful attention to detail; hard to please; excessively concerned with cleanliness. Having complicated nutritional requirements; especially growing only in special artificial cultures,A fastidious and incisive intellect. Fastidious about personal cleanliness. Fastidious microorganisms. Certain highly specialized xerophytes are extremely exacting in their requirements,Fastidious. Fastidious. exacting,Unfastidious,0
2279,fastidiousness,the quality of being fastidious,noun,1,The trait of being meticulous about matters of taste or style,Neatness and fastidiousness of dress,Fastidiousness,,0
2280,fatalist,one who maintains all things happen by inevitable necessity,noun,1,Anyone who submits to the belief that they are powerless to change their destiny,,Fatalist. determinist. predestinarian. predestinationist,,0
2281,fathom,"to penetrate to the truth of, comprehend, understand",verb,2,Measure the depth of (a body of water) with a sounding line. Come to understand,,Fathom. sound. Penetrate. fathom. bottom,,0
2282,fatuous,"foolish or inane, especially in an unconscious manner, silly",adjective,1,Devoid of intelligence,,Asinine. fatuous. inane. mindless. vacuous,,0
2283,faulty,having or displaying faults not adequate or acceptable,adjective,2,"Having a defect. Characterized by errors; not agreeing with a model or not following established rules; ; ; the wrong side of the road""",He submitted a faulty report. An incorrect transcription. I returned the appliance because it was defective,Defective. faulty. Faulty. incorrect. wrong,,0
2284,faun,mythical woodland creature with pointed ears and short horns,noun,1,"Ancient Italian deity in human shape, with horns, pointed ears and a goat's tail; equivalent to Greek satyr",,Faun,,0
2285,fauna,animals of a given region or period considered as a whole,noun,2,All the animal life in a particular region or period. A living organism characterized by voluntary movement,The fauna of China. The zoology of the Pliocene epoch,Animal. animate_being. beast. brute. creature. fauna. Fauna. zoology,Flora,0
2286,faux pas,"a slip or blunder in etiquette, manners, or conduct",noun,1,,,,,0
2287,fawn,to exhibit affection or attempt to please,verb,3,Show submission or fear. Have fawns. Try to gain favor by cringing or flattering,Deer fawn. He is always kowtowing to his boss,Fawn. crawl. creep. cringe. cower. grovel. Fawn. toady. truckle. bootlick. kowtow. kotow. suck_up. Fawn,,0
2288,fealty,"fidelity, faithfulness",noun,1,The loyalty that citizens owe to their country (or subjects to their sovereign),,Allegiance. fealty,,0
2289,feasible,that can be done in practice,adjective,1,Capable of being done with means at hand and circumstances as they are,,Feasible. executable. practicable. viable. workable,,0
2290,febrile,"feverish, or having a high temperature",adjective,1,Of or relating to or characterized by fever,A febrile reaction caused by an allergen,Febrile. feverish,Afebrile,0
2291,feckless,"ineffective, incompetent, futile",adjective,2,Not fit to assume responsibility. Generally incompetent and ineffectual,Feckless attempts to repair the plumbing. Inept handling of the account,Feckless. inept. Feckless,,0
2292,fecund,"highly fertile, able to produce offspring",adjective,2,Capable of producing offspring or vegetation. Intellectually productive,A prolific writer. A fecund imagination,Fecund. Fecund. fertile. prolific,,0
2293,federate,to unite in a federation,verb,2,Enter into a league for a common purpose. Unite on a federal basis or band together as a league,The republics federated to become the Soviet Union. The country was federated after the civil war,Federate. federalize. federalise,,0
2294,feign,"to represent by a false appearance of, to pretend",verb,2,Make a pretence of. Make believe with the intent to deceive,"She assumed indifference, even though she was seething with anger. He feigned sleep. He feigned that he was ill. He shammed a headache",Feign. sham. pretend. affect. dissemble. Simulate. assume. sham. feign,,0
2295,feint,a movement made in order to deceive an adversary,verb,1,Deceive by a mock action,The midfielder feinted to shoot,Feint,,0
2296,felicitate,"to congratulate, to compliment upon a happy event",verb,1,Express congratulations,,Congratulate. felicitate,,0
2297,felicitous,"well-suited for the occasion, as an action or expression",adjective,2,Exhibiting an agreeably appropriate manner or style. Marked by good fortune,A felicitous speaker. A felicitous life. A happy outcome,Felicitous. Felicitous. happy,Infelicitous,0
2298,felicity,"happiness, especially to a high degree",noun,2,Pleasing and appropriate manner or style (especially manner or style of expression). State of well-being characterized by emotions ranging from contentment to intense joy,,Felicity. felicitousness. Happiness. felicity,Unhappiness. Infelicity,0
2299,felon,a person convicted of a felony,noun,2,Someone who has committed a crime or has been legally convicted of a crime. A purulent infection at the end of a finger or toe in the area surrounding the nail,,Felon. whitlow. Criminal. felon. crook. outlaw. malefactor,,0
2300,felonious,"having the quality of felony, malignant, malicious",adjective,1,Involving or being or having the nature of a crime,A criminal offense. Criminal abuse. Felonious intent,Criminal. felonious,,0
2301,felony,"an offense, as murder or burglary, of grave character",noun,1,A serious crime (such as murder or arson),,Felony,,0
2302,feminine,"of the female sex, biologically female, not male, womanly",adjective,4,Of grammatical gender. Associated with women and not with men. Befitting or characteristic of a woman especially a mature woman. (music or poetry) ending on an unaccented beat or syllable,Womanly virtues of gentleness and compassion. Feminine intuition. A feminine ending,Womanly. feminine. Feminine,Neuter. masculine. Unwomanly. Masculine,0
2303,feral,"existing in a natural state, not domesticated, wild",adjective,1,Wild and menacing,A pack of feral dogs,Feral. ferine. savage,,0
2304,ferment,"living organisms (yeasts, molds) that cause fermentation",noun,3,"A process in which an agent causes an organic substance to break down into simpler substances; especially, the anaerobic breakdown of sugar into alcohol. A substance capable of bringing about fermentation. A state of agitation or turbulent change or development",The political ferment produced new leadership. Social unrest,Zymosis. zymolysis. fermentation. fermenting. ferment. Ferment. Agitation. ferment. fermentation. tempestuousness. unrest,,0
2305,fernery,specialized garden for the cultivation and display of ferns,noun,1,,,,,0
2306,ferocious,marked by extreme and violent energy,adjective,1,Marked by extreme and violent energy,A ferocious beating. Fierce fighting. A furious battle,Ferocious. fierce. furious. savage,,0
2307,ferocity,"the condition of being ferocious, savage fierceness",noun,1,The property of being wild or turbulent,The storm's violence,Ferocity. fierceness. furiousness. fury. vehemence. violence. wildness,,0
2308,fertile,"capable of growing abundant crops, productive",adjective,4,Intellectually productive. Bearing in abundance especially offspring. Marked by great fruitfulness. Capable of reproducing,Flying foxes are extremely prolific. A prolific pear tree. Fertile farmland. A fat land. A productive vineyard. Rich soil. A prolific writer. A fecund imagination,Fat. fertile. productive. rich. Fertile. Fecund. fertile. prolific. Prolific. fertile,Sterile,0
2309,fertilize,to make (the soil) more fertile by adding nutrients to it,verb,3,Make fertile or productive. Introduce semen into (a female). Provide with fertilizers or add nutrients to,The course fertilized her imagination. We should fertilize soil if we want to grow healthy plants,Fertilize. fecundate. fertilise. Inseminate. fecundate. fertilize. fertilise. Fertilize. fertilise. feed,,0
2310,fervent,having or showing great warmth or intensity of spirit,adjective,2,Extremely hot; - Nathaniel Hawthorne; - Frances Trollope. Characterized by intense emotion,The fervent heat...merely communicated a genial warmth to their half-torpid systems. Set out...when the fervid heat subsides. Ardent love. An ardent lover. A fervent desire to change society. A fervent admirer. Fiery oratory. An impassioned appeal. A torrid love affair,Ardent. fervent. fervid. fiery. impassioned. perfervid. torrid. Fervent. fervid,,0
2311,fervid,"heated or vehement in spirit, enthusiasm, etc",adjective,2,Extremely hot; - Nathaniel Hawthorne; - Frances Trollope. Characterized by intense emotion,The fervent heat...merely communicated a genial warmth to their half-torpid systems. Set out...when the fervid heat subsides. Ardent love. An ardent lover. A fervent desire to change society. A fervent admirer. Fiery oratory. An impassioned appeal. A torrid love affair,Ardent. fervent. fervid. fiery. impassioned. perfervid. torrid. Fervent. fervid,,0
2312,fervor,"an intense, heated emotion, passion, ardor",noun,2,Feelings of great warmth and intensity. The state of being emotionally aroused and worked up,His face was flushed with excitement and his hands trembled. He tried to calm those who were in a state of extreme inflammation. He spoke with great ardor,Excitement. excitation. inflammation. fervor. fervour. Ardor. ardour. fervor. fervour. fervency. fire. fervidness,,0
2313,festal,"festive, relating to a festival or feast",adjective,1,Offering fun and gaiety,A festive (or festal) occasion. Gay and exciting night life. A merry evening,Gay. festal. festive. merry,,0
2314,festive,"having the atmosphere,or attitude of a celebration",adjective,1,Offering fun and gaiety,A festive (or festal) occasion. Gay and exciting night life. A merry evening,Gay. festal. festive. merry,,0
2315,fete,to celebrate (a person),verb,1,Have a celebration,"They were feting the patriarch of the family. After the exam, the students were celebrating",Celebrate. fete,,0
2316,fetid,"having an offensive odor, stinking",adjective,1,Offensively malodorous,A foul odor. The kitchen smelled really funky,Fetid. foetid. foul. foul-smelling. funky. noisome. smelly. stinking. ill-scented,,0
2317,fetish,an object seen as being the habitation of a spirit,noun,3,Excessive or irrational devotion to some activity. A charm superstitiously believed to embody magical powers. A form of sexual desire in which gratification depends to an abnormal degree on some object or item of clothing or part of the body,"Made a fetish of cleanliness. Common male fetishes are breasts, legs, hair, shoes, and underwear",Fetish. Juju. voodoo. hoodoo. fetish. fetich. Fetish. fetich,,0
2318,fetter,to shackle or bind up with fetters,verb,1,Restrain with fetters,,Fetter. shackle,,0
2319,fetus,an unborn vertebrate showing signs of the mature animal,noun,1,An unborn or unhatched vertebrate in the later stages of development showing the main recognizable features of the mature animal,,Fetus. foetus,,0
2320,feudal,"of, or relating to the  feudal system",adjective,1,Of or relating to or characteristic of feudalism,,Feudal. feudalistic,,0
2321,feudalism,social system based on personal resources and fealty,noun,1,The social system that developed in Europe in the 8th century; vassals were protected by lords who they had to serve in war,,Feudalism. feudal_system,,0
2322,fiasco,a complete and ignominious failure,noun,1,A sudden and violent collapse,,Debacle. fiasco,,0
2323,fiat,"an authoritative command or order, an effectual decree",noun,1,A legally binding command or decision entered on the court record (as if issued by a court or judge),A friend in New Mexico said that the order caused no trouble out there,Decree. edict. fiat. order. rescript,,0
2324,fickle,"likely to change, casually changeable",adjective,2,Liable to sudden unpredictable change. Marked by erratic changeableness in affections or attachments,"Erratic behavior. Fickle weather. Mercurial twists of temperament. A quicksilver character, cool and willful at one moment, utterly fragile the next. Fickle friends. A flirt's volatile affections",Fickle. volatile. Erratic. fickle. mercurial. quicksilver,,0
2325,fictitious,"not real, invented, contrived",adjective,2,Adopted in order to deceive. Formed or conceived by the imagination,A fabricated excuse for his absence. A fancied wrong. A fictional character. An assumed name. An assumed cheerfulness. A fictitious address. Fictive sympathy. A pretended interest. A put-on childish voice. Sham modesty,Assumed. false. fictitious. fictive. pretended. put_on. sham. Fabricated. fancied. fictional. fictitious,,0
2326,fidelity,faithfulness to one's duties,noun,2,The quality of being faithful. Accuracy with which an electronic system reproduces the sound or image of its input signal,,Fidelity. faithfulness. Fidelity,Infidelity. unfaithfulness,0
2327,fidget,"to wiggle or twitch, to move around nervously or idly",verb,1,Move restlessly,The child is always fidgeting in his seat,Fidget,,0
2328,fiducial,accepted as a fixed basis of reference,adjective,3,Based on trust. Relating to or of the nature of a legal trust (i.e. the holding of something in trust for another). Used as a fixed standard of reference for comparison or measurement,A fiduciary contract. In a fiduciary capacity. Fiducial power. A fiducial point,Fiducial. Fiduciary. fiducial,,0
2329,fief,a territory held in fee,noun,1,A piece of land held under the feudal system,,Fief. feoff,,0
2330,figment,"a fabrication, fantasy, invention, something fictitious",noun,1,A contrived or fantastic idea,A figment of the imagination,Figment,,0
2331,figurative,"metaphorical, as opposed to literal",adjective,2,Consisting of or forming human or animal figures; ; - Herbert Read. (used of the meanings of words or text) not literal; using figures of speech,A figural design. The figurative art of the humanistic tradition. Figurative language,Figural. figurative. Figurative. nonliteral,Literal,0
2332,figurehead,person who is head  of a group in title but has no authority,noun,2,A person used as a cover for some questionable activity. Figure on the bow of some sailing vessels,,Front_man. front. figurehead. nominal_head. straw_man. strawman. Figurehead,,0
2333,filch,"to steal, to illegally take possession of",verb,1,Make off with belongings of others,,Pilfer. cabbage. purloin. pinch. abstract. snarf. swipe. hook. sneak. filch. nobble. lift,,0
2334,filial,"of, pertaining to, or befitting a son or daughter",adjective,2,Designating the generation or the sequence of generations following the parental generation. Relating to or characteristic of or befitting an offspring,Filial respect,Filial,Parental,0
2335,filibuster,to force a decision,verb,1,Obstruct deliberately by delaying,,Filibuster,,0
2336,financial,pertaining or relating to money matters,adjective,1,Involving financial matters,Fiscal responsibility,Fiscal. financial,Nonfinancial,0
2337,financier,a person skilled in managing large financial operations,noun,1,A person skilled in large scale financial transactions,,Financier. moneyman,,0
2338,finery,"fine  or showy dress, ornaments, etc",noun,1,Elaborate or showy attire and accessories,,Finery,,0
2339,finesse,"extreme delicacy or subtlety in action, performance, etc",verb,1,,,,,0
2340,finicky,"fastidious and fussy, difficult to please, exacting",adjective,1,Exacting especially about details,A finicky eater. Fussy about clothes. Very particular about how her food was prepared,Finical. finicky. fussy. particular. picky,,0
2341,finite,"having bounds or limits, not infinite, measurable",adjective,2,Bounded or limited in magnitude or spatial or temporal extent. Of verbs; relating to forms of the verb that are limited in time by a tense and (usually) show agreement with number and person,,Finite,Infinite,0
2342,fiscal,"related to the treasury of a country, company, or region",adjective,1,Involving financial matters,Fiscal responsibility,Fiscal. financial,Nonfinancial,0
2343,fishmonger,a person who sells fish,noun,1,Someone who sells fish,,Fishmonger. fishwife,,0
2344,fission,the act of cleaving or splitting into parts,verb,1,,,,,0
2345,fissure,narrow opening produced by cleavage  or separation of parts,noun,3,A long narrow depression in a surface. A long narrow opening. (anatomy) a long narrow slit or groove that divides an organ into lobes,,Fissure. Crack. cleft. crevice. fissure. scissure. Crevice. cranny. crack. fissure. chap,,0
